postcode,suburb,Average Weekly Income
2601,acton,
2602,ainslie,"2,434.13"
2914,amaroo,"2,629.75"
2614,aranda,"2,722.72"
200,australian national university,
2906,banks,"2,276.29"
221,barton,"2,743.51"
2600,barton,"2,743.51"
2616,belconnen,"1,777.30"
2617,belconnen,"1,777.30"
2601,black mountain,
2914,bonner,"2,541.11"
2905,bonython,"2,195.02"
2612,braddon,"2,152.52"
2617,bruce,"2,251.22"
2905,calwell,"2,430.09"
2612,campbell,"2,794.11"
2600,canberra,
2601,canberra,1156.99
2609,canberra international airport,"2,053.07"
2604,causeway,
2611,chapman,"3,052.69"
2615,charnwood,"1,693.90"
2606,chifley,"2,184.85"
2905,chisholm,"2,241.08"
2608,civic square,"2,495.04"
2906,conder,"2,393.04"
2614,cook,"2,210.27"
2911,crace,"2,721.37"
2605,curtin,"2,651.19"
2600,deakin,"3,020.70"
2600,deakin west,
2602,dickson,"2,026.01"
2602,downer,"2,178.34"
2611,duffy,"2,370.64"
2615,dunlop,"2,387.42"
2600,duntroon,"2,829.69"
2903,erindale centre,
2617,evatt,"2,268.36"
2904,fadden,"2,990.15"
2607,farrer,"2,641.45"
2611,fisher,"2,231.84"
2615,florey,"2,035.20"
2615,flynn,"2,399.24"
2914,forde,"3,051.36"
2603,forrest,"3,294.33"
2913,franklin,"2,368.89"
2615,fraser,"2,489.89"
2609,fyshwick,
2605,garran,"2,769.28"
2905,gilmore,"2,272.67"
2913,ginninderra village,
2617,giralang,"2,287.11"
2906,gordon,"2,245.42"
2904,gowrie,"2,450.88"
2900,greenway,"2,063.51"
2603,griffith,"2,583.52"
2912,gungahlin,"2,281.27"
2602,hackett,"2,437.54"
2618,hall,"2,416.76"
2600,harman,
2914,harrison,"2,515.06"
2614,hawker,"2,442.30"
2615,higgins,"1,966.27"
2540,hmas creswell,
2600,hmas harman,
2611,holder,"2,300.89"
2615,holt,"1,716.27"
2605,hughes,"2,710.40"
2620,hume,
2607,isaacs,"2,635.97"
2905,isabella plains,"2,086.48"
2614,jamison centre,
2540,jervis bay,
2617,kaleen,"2,288.19"
2902,kambah,"2,191.39"
2604,kingston,"2,652.84"
2615,kippax,
2620,kowen forest,
2615,latham,"2,041.66"
2617,lawson,"3,003.33"
2602,lyneham,"2,029.19"
2606,lyons,"1,914.65"
2904,macarthur,"2,869.42"
2615,macgregor,"2,199.67"
2614,macquarie,"2,001.02"
2609,majura,"3,448.94"
2603,manuka,
2607,mawson,"2,196.44"
2617,mckellar,"2,477.08"
2615,melba,"2,225.80"
2911,mitchell,
2904,monash,"2,178.60"
2611,mount stromlo,
2604,narrabundah,"2,413.12"
2913,ngunnawal,"2,109.83"
2913,nicholls,"2,934.31"
2620,oaks estate,
2602,o'connor,"2,505.77"
2606,o'malley,"3,545.44"
2903,oxley,"2,271.31"
2614,page,"1,783.90"
2913,palmerston,"2,241.69"
2600,parkes,
2600,parliament house,
2607,pearce,"2,381.16"
2606,phillip,"1,939.00"
2609,pialligo,
2611,pierces creek,
2603,red hill,"3,134.38"
2612,reid,"1,976.84"
2905,richardson,"2,007.14"
2611,rivett,"2,045.61"
2600,russell,
2614,scullin,"1,868.72"
2615,spence,"2,213.42"
2611,stirling,"2,302.43"
2606,swinger hill,
2609,symonston,
2620,tharwa,
2905,theodore,"2,336.53"
2620,top naas,
2607,torrens,"2,499.79"
2900,tuggeranong,"2,732.83"
2612,turner,"2,183.75"
2617,university of canberra,
2611,uriarra,
2611,uriarra forest,
2903,wanniassa,"2,220.96"
2611,waramanga,"2,211.86"
2602,watson,"2,230.07"
2614,weetangera,"2,997.74"
2611,weston,"2,371.56"
2611,weston creek,
2606,woden,
2600,yarralumla,"3,038.53"
